队伍A,队伍B,结果A,级数A,结果B,级数B,俱乐部A,俱乐部B
钻石风暴,纵横四海,W,A,L,10,,
旗开得胜,北岸龙腾,W,A,L,5,野火掼蛋联盟,北岸华人协会
春暖花开,万里挑一,L,8,W,A,野火掼蛋联盟,中区康养中心
风云双雄,黑桃ACE,L,4,W,A,风云掼蛋社,东区华人联谊会
南山雄狮,碧海蓝天,W,A,L,6,南山掼蛋俱乐部,
步步高升,紫荆花开,W,A,L,2,,东区华人联谊会
龙行天下,星河万里,W,A,L,10,,野火掼蛋联盟
旭日东升,南山闪电,L,K,W,A,风云掼蛋社,南山掼蛋俱乐部
秋风落叶,群英荟萃,W,A,L,10,奥克兰掼协,北岸华人协会
西区猎豹,盛夏光年,W,A,L,8,西区体育俱乐部,
梅花三弄,大吉大利,L,2,W,A,,北岸华人协会
鸿运当头,雷霆战队,W,J,L,4,,奥克兰掼协
乘风破浪,方块先锋,W,A,L,10,,中区康养中心
风起云涌,一马当先,L,2,W,A,,南山掼蛋俱乐部
野火燎原,虎虎生威,W,A,L,5,野火掼蛋联盟,奥克兰掼协
雪山飞狐,新世纪,W,A,L,9,风云掼蛋社,西区体育俱乐部
中区飞鹰,青春无悔,L,9,W,A,中区康养中心,奥克兰掼协
冬日暖阳,勇冠三军,L,J,W,A,,西区体育俱乐部
龙马精神,星空战队,W,A,L,5,,
吉祥如意,破浪前行,L,2,W,A,西区体育俱乐部,北岸华人协会
黄金搭档,东区虎啸,W,A,L,8,奥克兰掼协,东区华人联谊会
锦上添花,卧虎藏龙,W,A,L,Q,东区华人联谊会,
红心战队,旭日战队,W,A,L,4,风云掼蛋社,
凤舞九天,钢铁洪流,W,A,L,10,中区康养中心,南山掼蛋俱乐部
