阶段,序号,队伍A,队伍B,结果A,级数A,结果B,级数B,俱乐部A,俱乐部B
1/8,1,万里挑一,龙行天下,L,9,W,A,中区康养中心,
1/8,2,星河万里,勇冠三军,L,Q,W,A,野火掼蛋联盟,西区体育俱乐部
1/8,3,南山闪电,秋风落叶,W,A,L,5,南山掼蛋俱乐部,奥克兰掼协
1/8,4,北岸龙腾,春暖花开,W,A,L,4,北岸华人协会,野火掼蛋联盟
1/8,5,群英荟萃,雷霆战队,W,A,L,J,北岸华人协会,奥克兰掼协
1/8,6,旗开得胜,破浪前行,W,A,L,4,野火掼蛋联盟,北岸华人协会
1/8,7,旭日东升,步步高升,L,8,W,A,风云掼蛋社,
1/8,8,乘风破浪,青春无悔,L,K,W,A,,奥克兰掼协
1/4,1,龙行天下,勇冠三军,W,A,L,8,,西区体育俱乐部
1/4,2,南山闪电,北岸龙腾,W,A,L,10,南山掼蛋俱乐部,北岸华人协会
1/4,3,群英荟萃,旗开得胜,L,9,W,A,北岸华人协会,野火掼蛋联盟
1/4,4,步步高升,青春无悔,L,9,W,A,,奥克兰掼协
半决赛,1,龙行天下,南山闪电,L,5,W,A,,南山掼蛋俱乐部
半决赛,2,旗开得胜,青春无悔,W,A,L,8,野火掼蛋联盟,奥克兰掼协
决赛,1,南山闪电,旗开得胜,W,A,L,J,南山掼蛋俱乐部,野火掼蛋联盟
季军赛,1,龙行天下,青春无悔,L,4,W,A,,奥克兰掼协
